responderid,respondername,password,email,phonenumber,respondertype,address
1,台北市消防局華山分隊,,,0223412668,FireAgency,台北市中正區北平東路1號 
2,台北市消防局泉州分隊,,,0223374679,FireAgency,台北市中正區泉州街40號
3,台北市消防局城中分隊,,,0223812839,FireAgency,台北市中正區忠孝西路1段86號 
4,台北市消防局忠孝分隊,,,0223516396,FireAgency,台北市中正區忠孝東路2段8號 
5,台北市消防局古亭分隊,,,0223633293,FireAgency,台北市大安區基隆路4段156號
6,台北市消防局雙園分隊,,,0223053374,FireAgency,台北市萬華區西藏路213之1號
7,台北市消防局龍山分隊,,,0223122496,FireAgency,台北市萬華區桂林路137號 
8,台北市消防局萬芳分隊,,,0222305720,FireAgency,台北市文山區萬美街1段52號
9,台北市消防局木柵分隊,,,0229391604,FireAgency,台北市文山區木柵路2段200號 
10,台北市消防局景美分隊,,,0229311405,FireAgency,台北市文山區景文街30號
11,台北市消防局寶橋分隊,,,0229395140,FireAgency,台北市文山區樟新街2號
12,台北市消防局金華分隊,,,0223917653,FireAgency,台北市大安區愛國東路79巷13號
13,台北市消防局安和分隊,,,0227094191,FireAgency,台北市大安區安和路2段2號 
14,台北市消防局復興分隊,,,0227067965,FireAgency,台北市大安區復興南路二段92號
15,台北市消防局南港分隊,,,0227837757,FireAgency,台北市南港區興中路6號
16,台北市消防局舊莊分隊,,,0227831453,FireAgency,台北市南港區研究院路2段86號
17,台北市消防局 成德分隊,,,0226518983,FireAgency,台北市南港區東新街63巷11號
18,台北市消防局信義分隊,,,0227588864,FireAgency,台北市信義區松仁路1號
19,台北市消防局永吉分隊,,,0227675126,FireAgency,台北市信義區永吉路48號
20,台北市消防局莊敬分隊,,,0227581575,FireAgency,台北市信義區松智路40號1樓
21,台北市消防局大直分隊,,,0285026151,FireAgency,台北市中山區樂群二路143號
22,台北市消防局松江分隊,,,0225178353,FireAgency,台北市中山區松江路25巷9號
23,台北市消防局圓山分隊,,,0225913384,FireAgency,台北市中山區民族東路41號
24,台北市消防局建國分隊,,,0225017795,FireAgency,台北市中山區民族東路282號
25,台北市消防局八德分隊,,,0227694642,FireAgency,台北市八德路4段162號
26,台北市消防局中崙分隊,,,0287737055,FireAgency,台北市松山區長安東路2段229號
27,台北市消防局東湖分隊,,,0226325393,FireAgency,台北市內湖區五分街8號
28,台北市消防局大湖分隊,,,0227906455,FireAgency,台北市內湖區成功路5段5號
29,台北市消防局內湖分隊,,,0227911511,FireAgency,台北市內湖區成功路2段378號
30,台北市消防局民權分隊,,,0227906940,FireAgency,台北市民權東路6段9號3樓
31,台北市消防局建成分隊,,,0225593748,FireAgency,台北市大同區承德路2段35號
32,台北市消防局延平分隊,,,0225582105,FireAgency,台北市大同區鄭州路109號 
33,台北市消防局大同分隊,,,0225577233,FireAgency,台北市大同區重慶北路二段223號
34,台北市消防局山仔后分隊,,,0228616431,FireAgency,台北市士林區仰德大道4段161號
35,台北市消防局天母分隊,,,0228714111,FireAgency,台北市士林區中山北路7段194號
36,台北市消防局福安分隊,,,0228108454,FireAgency,台北市士林區延平北路7段42-7號
37,台北市消防局社子分隊,,,0228118221,FireAgency,台北市士林區延平北路5段2之1號
38,台北市消防局劍潭分隊,,,0228813019,FireAgency,台北市士林區中山北路5段376號
39,台北市消防局雙溪分隊,,,0288611296,FireAgency,台北市士林區至善路2段41號
40,台北市消防局後港分隊,,,0228816775,FireAgency,台北市士林區福港街153號
41,台北市消防局陽明山分隊,,,0228616119,FireAgency,台北市北投區勝利街1之2號
42,台北市消防局光明分隊,,,0228913161,FireAgency,台北市北投區光明路155號
43,台北市消防局關渡分隊,,,0228586084,FireAgency,台北市北投區知行路345號
44,台北市消防局石牌分隊,,,0228213119,FireAgency,台北市北投區石牌路2段101號
45,台北市消防局秀山分隊,,,0228958753,FireAgency,台北市北投區秀山路50號
